'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'63078','22561','122869','Седан','1586857681','1586857681','1'
'63079','22561','122870','Седан','1586857681','1586857681','1'
'63080','20161','122872','Минивэн','1586857682','1586857682','1'
'63081','20162','10232','Компактвэн','1586857683','1586857683','1'
'63082','20162','10233','Компактвэн','1586857683','1586857683','1'
'63083','789','122880','Минивэн','1586857684','1586857684','1'
'63084','20169','122883','Кабриолет','1586857686','1586857686','1'
'63085','20170','122884','Кабриолет','1586857686','1586857686','1'
'63086','22792','122886','Микровэн','1586857688','1586857688','1'
'63087','22792','122887','Микровэн','1586857688','1586857688','1'
'63088','818','126940','Седан','1586857689','1586857689','1'
'63089','820','126505','Седан','1586857690','1586857690','1'
'63090','822','122899','Купе','1586857691','1586857691','1'
'63091','22793','122910','Минивэн','1586857693','1586857693','1'
'63092','22793','122911','Минивэн','1586857693','1586857693','1'
'63093','22793','122912','Минивэн','1586857693','1586857693','1'
'63094','850','122916','Минивэн','1586857694','1586857694','1'
'63095','848','126942','Седан','1586857696','1586857696','1'
'63096','849','122935','Седан','1586857697','1586857697','1'
'63097','849','122937','Седан','1586857697','1586857697','1'
'63098','20209','122940','Минивэн','1586857697','1586857697','1'
'63099','853','122942','Купе','1586857698','1586857698','1'
'63100','853','122943','Купе','1586857698','1586857698','1'
'63101','20178','124690','Седан','1586857701','1586857701','1'
'63102','20178','122955','Седан','1586857701','1586857701','1'
'63103','22797','122975','Седан','1586857747','1586857747','1'
'63104','22797','122976','Седан','1586857747','1586857747','1'
'63105','22798','122977','Седан','1586857747','1586857747','1'
'63106','22800','122979','Седан','1586857747','1586857747','1'
'63107','22800','122980','Седан','1586857747','1586857747','1'
'63108','22800','122981','Седан','1586857747','1586857747','1'
'63109','22800','122982','Седан','1586857747','1586857747','1'
'63110','22800','122983','Купе','1586857748','1586857748','1'
'63111','22801','122984','Седан','1586857748','1586857748','1'
'63112','22801','122985','Седан','1586857748','1586857748','1'
'63113','22801','122986','Седан','1586857748','1586857748','1'
'63114','22801','122987','Седан','1586857748','1586857748','1'
'63115','870','122988','Купе','1586857748','1586857748','1'
'63116','937','123002','Компактвэн','1586857750','1586857750','1'
'63117','937','123004','Компактвэн','1586857750','1586857750','1'
'63118','938','123008','Минивэн','1586857751','1586857751','1'
'63119','941','123018','Седан','1586857751','1586857751','1'
'63120','20264','123019','Седан','1586857751','1586857751','1'
'63121','20264','123020','Седан','1586857752','1586857752','1'
'63122','20267','123022','Седан','1586857752','1586857752','1'
'63123','20267','123023','Седан','1586857752','1586857752','1'
'63124','20267','123024','Седан','1586857752','1586857752','1'
'63127','20268','123043','Седан','1586859602','1586859602','1'
'63128','20268','123044','Седан','1586859602','1586859602','1'
'63129','20268','123045','Седан','1586859602','1586859602','1'
'63130','22808','123046','Седан','1586859602','1586859602','1'
'63131','22808','123047','Седан','1586859602','1586859602','1'
'63132','20270','125356','Седан','1586859602','1586859602','1'
'63133','22809','123051','Седан','1586859602','1586859602','1'
'63134','22809','123052','Седан','1586859602','1586859602','1'
'63135','22810','123053','Седан','1586859603','1586859603','1'
'63136','1020','123063','Седан','1586859663','1586859663','1'
'63137','1020','123064','Седан','1586859663','1586859663','1'
'63138','1131','123106','Седан','1586859665','1586859665','1'
'63139','20328','123122','Микровэн','1586859721','1586859721','1'
'63140','20328','123123','Микровэн','1586859721','1586859721','1'
'63141','22480','123124','Микровэн','1586859721','1586859721','1'
'63142','20329','124692','Микровэн','1586859721','1586859721','1'
'63143','20329','124693','Микровэн','1586859721','1586859721','1'
'63144','20329','124694','Микровэн','1586859721','1586859721','1'
'63145','20329','124695','Микровэн','1586859721','1586859721','1'
'63146','1159','123125','Седан','1586859722','1586859722','1'
'63147','1163','123126','Родстер','1586859722','1586859722','1'
'63148','20337','123131','Седан','1586859723','1586859723','1'
'63149','1172','123132','Кабриолет','1586859723','1586859723','1'
'63150','1175','123135','Минивэн','1586859723','1586859723','1'
'63151','1175','123136','Минивэн','1586859723','1586859723','1'
